phase,flux,flux2d,model
-0.15297261189044756,-0.009311250000000215,-0.008586874999999439,-0.009271394532699873
-0.1516366065464262,-0.009633124999999909,-0.008829374999999806,-0.009571446824920504
-0.1503006012024048,-0.009904374999999632,-0.008916250000000403,-0.009817207163900443
-0.14896459585838343,-0.010059999999999625,-0.00895250000000003,-0.009980364835096345
-0.14762859051436206,-0.010043750000000018,-0.0090081249999997,-0.009997848667275822
-0.1462925851703407,-0.010036874999999723,-0.009029374999999673,-0.009998022906278603
-0.1449565798263193,-0.010051875000000043,-0.00901187499999967,-0.009998185687420724
-0.14362057448229792,-0.010030625000000404,-0.009029374999999895,-0.00999833942001671
-0.14228456913827656,-0.010031875000000134,-0.009064375000000124,-0.009998485577480287
-0.1409485637942552,-0.010038749999999985,-0.009142500000000053,-0.009998625185464793
-0.1396125584502338,-0.009991874999999872,-0.00917187499999983,-0.009998759010639846
-0.13827655310621242,-0.010013124999999734,-0.00915937499999997,-0.009998887652964417
-0.13694054776219106,-0.010029999999999761,-0.009194999999999731,-0.009999011597217944
-0.13560454241816966,-0.01003812500000012,-0.009199999999999875,-0.009999131244492254
-0.1342685370741483,-0.010020624999999894,-0.009236249999999613,-0.009999246932744787
-0.13293253173012692,-0.010053749999999972,-0.009212499999999402,-0.00999935895090498
-0.13159652638610556,-0.010017500000000013,-0.009212499999999735,-0.009999467548942542
-0.13026052104208416,-0.010027499999999856,-0.00922812499999992,-0.009999572945286306
-0.1289245156980628,-0.010026250000000347,-0.009255625000000323,-0.009999675332430957
-0.12758851035404142,-0.009983749999999958,-0.009282500000000304,-0.009999774881267243
-0.12625250501002003,-0.009958125000000484,-0.009303750000000166,-0.009999871744485245
-0.12491649966599866,-0.009996875000000016,-0.009282499999999971,-0.009999966059291765
-0.12358049432197729,-0.009989999999999943,-0.009300625000000173,-0.01000005794960801
-0.12224448897795592,-0.00995750000000073,-0.009327500000000044,-0.01000014752786793
-0.12090848363393453,-0.009920625000000016,-0.009348750000000017,-0.01000023489650459
-0.11957247828991316,-0.009895624999999852,-0.009347500000000175,-0.010000320149190611
-0.11823647294589179,-0.009949375000000038,-0.009356249999999955,-0.010000403371881128
-0.1169004676018704,-0.009928750000000042,-0.00936437499999998,-0.010000484643697849
-0.11556446225784903,-0.009908750000000133,-0.009341250000000079,-0.010000564037682791
-0.11422845691382766,-0.009901874999999949,-0.00933187499999999,-0.010000641621445872
-0.11289245156980629,-0.009895625000000075,-0.009312499999999835,-0.010000717457723463
-0.1115564462257849,-0.009902499999999925,-0.009301875000000237,-0.010000791604863557
-0.11022044088176353,-0.009908125000000267,-0.009329375000000084,-0.010000864117248542
-0.10888443553774216,-0.009890000000000065,-0.009280625000000597,-0.010000935045666015
-0.10754843019372076,-0.009871875000000196,-0.00929187500000006,-0.010001004437634409
-0.1062124248496994,-0.00987374999999946,-0.009274375000000612,-0.010001072337691097
-0.10487641950567803,-0.009903124999999902,-0.009303124999999968,-0.010001138787647745
-0.10354041416165666,-0.009863125000000195,-0.00932562500000067,-0.010001203826817462
-0.10220440881763526,-0.00988062500000031,-0.009368749999999926,-0.010001267492217192
-0.1008684034736139,-0.00987562499999961,-0.009377499999999706,-0.010001329818749904
-0.09953239812959253,-0.009929374999999907,-0.00937187500000003,-0.010001390839366797
-0.09819639278557113,-0.009910625000000062,-0.009356875000000153,-0.0100014505852144
-0.09686038744154976,-0.009898124999999758,-0.009371250000000053,-0.010001509085767468
-0.09552438209752839,-0.00987562499999961,-0.009421874999999802,-0.010001566368948
-0.09418837675350702,-0.009893750000000145,-0.009469999999999423,-0.010001622461234927
-0.09285237140948563,-0.009936250000000202,-0.009529999999999594,-0.010001677387762253
-0.09151636606546426,-0.009968750000000193,-0.009533749999999896,-0.010001731172409878
-0.09018036072144289,-0.009948124999999863,-0.009493124999999991,-0.01000178383788497
-0.08884435537742152,-0.00999250000000007,-0.009480624999999798,-0.010001835405798243
-0.08750835003340013,-0.010003124999999558,-0.009485625000000164,-0.010001885896731899
-0.08617234468937876,-0.01004124999999978,-0.009503750000000033,-0.01000193533030369
-0.08483633934535739,-0.010064999999999769,-0.009521875000000235,-0.010001983725224428
-0.083500334001336,-0.010046875000000122,-0.00953937500000035,-0.010002031099352382
-0.08216432865731466,-0.010078749999999692,-0.009596875000000282,-0.010002077469741799
