phase,flux
-1.1395356118231514,1.0
-1.1269440581013488,1.0
-1.114352504379546,1.0
-1.101760950657743,1.0
-1.0891693969359404,1.0
-1.0765778432141375,1.0
-1.0639862894923349,1.0
-1.051394735770532,1.0
-1.0388031820487296,1.0
-1.0262116283269267,1.0
-1.013620074605124,1.0
-1.0010285208833212,1.0
-0.9884369671615184,1.0
-0.9758454134397155,1.0
-0.9632538597179128,1.0
-0.95066230599611,1.0
-0.9380707522743073,1.0
-0.9254791985525044,1.0
-0.9128876448307016,1.0
-0.9002960911088989,1.0
-0.8877045373870961,1.0
-0.8751129836652932,1.0
-0.8625214299434905,1.0
-0.8499298762216877,1.0
-0.8373383224998848,1.0
-0.8247467687780821,1.0
-0.8121552150562793,1.0
-0.7995636613344765,1.0
-0.7869721076126737,1.0
-0.7743805538908709,1.0
-0.7617890001690681,1.0
-0.7491974464472654,1.0
-0.7366058927254625,1.0
-0.7240143390036601,1.0
-0.7114227852818573,1.0
-0.6988312315600546,1.0
-0.6862396778382518,1.0
-0.6736481241164489,1.0
-0.6610565703946462,1.0
-0.6484650166728434,1.0
-0.6358734629510405,1.0
-0.6232819092292378,1.0
-0.610690355507435,1.0
-0.5980988017856322,1.0
-0.5855072480638294,1.0
-0.5729156943420266,1.0
-0.5603241406202238,1.0
-0.5477325868984211,1.0
-0.5351410331766182,1.0
-0.5225494794548154,1.0
-0.5099579257330127,1.0
-0.49736637201120987,1.0
-0.4847748182894071,1.0
-0.4721832645676043,1.0
-0.4595917108458015,1.0
-0.4470001571239987,1.0
-0.43440860340219595,1.0
-0.42181704968039313,0.9998400000000002
-0.40922549595859037,0.999
-0.3966339422367879,0.99792
-0.3840423885149851,0.9955999999999998
-0.3714508347931823,0.98912
-0.35885928107137954,0.9822599999999999
-0.3462677273495767,0.9765599999999999
-0.33367617362777396,0.9721399999999999
-0.32108461990597115,0.9671200000000001
-0.3084930661841684,0.9631799999999998
-0.29590151246236557,0.9577600000000002
-0.2833099587405628,0.95372
-0.27071840501876,0.9498199999999999
-0.2581268512969572,0.9474600000000001
-0.2455352975751544,0.9449400000000001
-0.23294374385335162,0.9437
-0.22035219013154883,0.9413199999999999
-0.20776063640974604,0.94066
-0.19516908268794325,0.9402400000000002
-0.18257752896614046,0.9400000000000002
-0.16998597524433767,0.93976
-0.15739442152253488,0.9401400000000001
-0.1448028678007321,0.94284
-0.1322113140789293,0.9462399999999999
-0.11961976035712651,0.9470399999999998
-0.10702820663532372,0.94722
-0.09443665291352094,0.9463000000000001
-0.08184509919171815,0.9449799999999999
-0.0692535454699157,0.9441799999999999
-0.05666199174811291,0.94446
-0.04407043802631012,0.9439399999999999
-0.03147888430450733,0.9435
-0.018887330582704535,0.9428599999999999
