phase,flux,model
-0.2166330879451655,0.0001117268402595073,0.0
-0.21608033441340208,2.6713476472650655e-05,0.0
-0.21536155203219476,-0.0005441792891360819,0.0
-0.2151119047029634,4.399087265483104e-05,0.0
-0.21481414870244045,-0.00014668576477561146,0.0
-0.21464924166954685,0.00026861813967116177,0.0
-0.2143983862301844,0.00010644173016771674,0.0
-0.21386601236575137,2.9083586923661642e-05,0.0
-0.21310695964684112,-2.9079715204716194e-05,0.0
-0.21283179818222223,0.00022560713114216924,0.0
-0.21255499713956827,0.00027254983433522284,0.0
-0.2124714937178885,0.0003559138858690858,0.0
-0.21216006018481004,0.0003338814130984247,0.0
-0.21164800845865353,-0.0003189638664480299,0.0
-0.21102258134959975,0.0009625414968468249,0.0
-0.21061877053828337,8.640961914352374e-05,0.0
-0.21029147336860265,2.6023849386547226e-06,0.0
-0.20991806666225202,-1.697694096947089e-05,0.0
-0.20942646651474323,2.2056137822801247e-05,0.0
-0.20882059928400232,-0.00026310599059797823,0.0
-0.20832171452004833,0.00010049315278592985,0.0
-0.20806632147656254,7.222433487186208e-05,0.0
-0.20767243442703726,-0.00028233262128196657,0.0
-0.2072937781945218,-2.3960403268574737e-05,0.0
-0.207201372151757,0.00013060470519121736,0.0
-0.20661525176875398,-0.0001863558281911537,0.0
-0.20607176041466224,-0.0006177659961394966,0.0
-0.20592030079810872,-0.0002463162236381322,0.0
-0.2054231203323754,0.00014592095976695418,0.0
-0.20512391172324246,0.00015009517665021122,0.0
-0.20497269660516787,3.621502764872275e-05,0.0
-0.20440649565706434,2.7458559088699985e-06,0.0
-0.20375805692646604,6.62998209008947e-05,0.0
-0.20370331803171693,-9.101282557821833e-06,0.0
-0.20348185993887763,-0.00019350420916453004,0.0
-0.20317012437826637,5.4259071475826204e-05,0.0
-0.2029510249766354,-0.0002848852309398353,0.0
-0.20219450353609503,0.0001973756734514609,0.0
-0.2015370615085674,-0.0001045145108946599,0.0
-0.20140982881482128,0.00016668144235154614,0.0
-0.20120437099008714,0.00016556559421587735,0.0
-0.200844346979891,-7.557407298008911e-05,0.0
-0.20050454443212717,-2.17443175642984e-05,0.0
-0.19997864258625353,-0.00011551716306712478,0.0
-0.19934080358382916,-1.966991476365365e-05,0.0
-0.1990773348994076,-9.185450471704826e-05,0.0
-0.1989232577109034,-0.00014232318790163845,0.0
-0.19862491203757837,-0.0001095737734431168,0.0
